1999-025AC,1999,1998-044B,1998,1997-021A,1997
1999-025AMP,1999,1999-025C,1999,1997-029A,1997
1999-025BCJ,1999,1999-057C,1999,1997-029C,1997
1999-025CCK,1999,2000-032B,2000,1997-042A,1997
1999-025CE,1999,2002-024C,2002,1997-048A,1997
1999-025CMH,1999,2003-049C,2003,1997-048B,1997
1999-025CNV,1999,2004-012C,2004,1997-062A,1997
1999-025CT,1999,2004-029B,2004,1998-033A,1998
1999-025CZY,1999,2004-035C,2004,1998-044A,1998
1999-025D,1999,2004-046B,2004,1999-025A,1999
1999-025DK,1999,2005-024B,2005,1999-025B,1999
1999-025DL,1999,2006-015B,2006,1999-053A,1999
1999-025JG,1999,2006-046C,2006,2000-003A,2000
1999-025JJ,1999,2006-048B,2006,2000-032A,2000
1999-025JK,1999,2007-003B,2007,2000-032C,2000
1999-025JM,1999,2007-010B,2007,2000-033B,2000
1999-025JR,1999,2007-042B,2007,2000-069A,2000
1999-025JT,1999,2007-055B,2007,2000-082A,2000
1999-025JX,1999,2008-026B,2008,2002-024A,2002
1999-025JY,1999,2008-053C,2008,2002-024B,2002
1999-025KE,1999,2008-066B,2008,2003-021A,2003
1999-025KG,1999,2009-018B,2009,2003-049B,2003
1999-025KU,1999,2009-061B,2009,2003-052A,2003
1999-025KZ,1999,2009-072C,2009,2004-007A,2004
1999-025LD,1999,2010-001B,2010,2004-012A,2004
1999-025LK,1999,2010-009D,2010,2004-012B,2004
1999-025LN,1999,2010-027B,2010,2004-024A,2004
1999-025LT,1999,2010-051C,2010,2004-029A,2004
1999-025LU,1999,2010-059B,2010,2004-035A,2004
1999-025MC,1999,2011-013B,2011,2004-035B,2004
1999-025MJ,1999,2011-030B,2011,2004-042A,2004
1999-025MK,1999,2011-039B,2011,2004-042C,2004
1999-025PD,1999,2011-043B,2011,2004-044A,2004
1999-025PP,1999,2011-068C,2011,2004-046A,2004
1999-025PU,1999,2011-079B,2011,2005-012A,2005
1999-025QF,1999,2012-002B,2012,2005-024A,2005
1999-025YF,1999,2012-028B,2012,2005-043A,2005
1999-025YS,1999,2012-029B,2012,2006-015A,2006
1999-057AD,1999,2012-059B,2012,2006-038A,2006
1999-057AM,1999,2012-066D,2012,2006-046A,2006
1999-057AQ,1999,2013-018E,2013,2006-046B,2006
1999-057AU,1999,2013-020B,2013,2006-048A,2006
1999-057AV,1999,2013-035B,2013,2006-053A,2006
1999-057AY,1999,2013-037D,2013,2006-053C,2006
1999-057BE,1999,2013-046D,2013,2007-003A,2007
1999-057DC,1999,2013-052B,2013,2007-010A,2007
1999-057DJ,1999,2013-057B,2013,2007-011A,2007
1999-057DL,1999,2013-059B,2013,2007-019A,2007
1999-057DP,1999,2013-065B,2013,2007-031A,2007
1999-057DR,1999,2013-070B,2013,2007-055A,2007
1999-057E,1999,2014-014B,2014,2008-019A,2008
1999-057EA,1999,2014-047D,2014,2008-026A,2008
1999-057F,1999,2014-059B,2014,2008-028A,2008
1999-057FK,1999,2014-063B,2014,2008-041A,2008
1999-057GG,1999,2014-066B,2014,2008-041B,2008
1999-057H,1999,2014-071B,2014,2008-053A,2008
1999-057HX,1999,2014-079B,2014,2008-053B,2008
1999-057R,1999,2014-080D,2014,2008-056A,2008
1999-057Z,1999,2014-090B,2014,2008-056B,2008
2002-024D,2002,2015-019C,2015,2008-061A,2008
2003-061C,2003,2015-037C,2015,2008-066A,2008
2006-015J,2006,2015-037D,2015,2008-066C,2008
2006-053D,2006,2015-040B,2015,2009-018A,2009
2007-003AA,2007,2015-049Q,2015,2009-021A,2009
