code,name,country
AFETR,Cape Canaveral / Kennedy Space Center,US
AFWTR,Vandenberg,US
WLPIS,Wallops Island,US
KODAK,Kodiak (Pacific Spaceport Complex),US
KWAJ,Kwajalein Atoll,US
ERAS,Eastern Range airspace (air launch),US
WRAS,Western Range airspace (air launch),US
PLMSC,Plesetsk,RU
TYMSC,Baikonur (Tyuratam),KZ
KYMSC,Kapustin Yar,RU
VOSTO,Vostochny,RU
DLS,Dombarovsky,RU
SVOBO,Svobodny,RU
TAISC,Taiyuan,CN
JSC,Jiuquan,CN
XICLF,Xichang,CN
WSC,Wenchang,CN
YSLA,Yellow Sea launch area (sea launch),CN
SCSLA,South China Sea launch area (sea launch),CN
FRGUI,Guiana Space Centre (Kourou),GF
SRILR,Satish Dhawan Space Centre (Sriharikota),IN
TANSC,Tanegashima,JP
KSCUT,Uchinoura,JP
RLLB,Rocket Lab Launch Complex 1 (Mahia),NZ
NSC,Naro Space Center,KR
YAVNE,Palmachim,IL
SEMLS,Semnan,IR
SMTS,Shahroud,IR
YUN,Sohae (Yunsong),KP
SEAL,Sea Launch (Pacific Ocean),
HGSTR,Hammaguir,DZ
SNMLP,San Marco platform,KE
WOMRA,Woomera,AU
ANDSP,Andøya Spaceport,NO
SUBL,Submarine launch,
CAS,Canary Islands airspace (air launch),ES
